Health Center Name,Operated By,Street Address,City,State,ZIP Code,Telephone Number
Kathryn Winn Elementary School,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,4030 Oxford Reily Rd,Oxford,OH,45056-8943,513-454-1111
Carroll County Alternative Learning Center,MERIDIAN HEALTH SERVICES CORP.,931 W Water St Ste A,Portland,IN,47371-1755,260-726-4350
Mt. Airy,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,400 W Sycamore St,Oxford,OH,45056-1168,513-454-1111
Mt. Healthy School Based Health Center,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,10 N Locust St,Oxford,OH,45056-1192,513-454-1111
Crossroad Heath Center West,MERIDIAN HEALTH SERVICES CORP.,731 N Plum St  RM 107,Union City,IN,47390-1029,765-288-1928
Forest Park Health Center,MERIDIAN HEALTH SERVICES CORP.,500 W Votaw St,Portland,IN,47371-1322,260-726-9348
Mt. Healthy Family Practice Center,MERIDIAN HEALTH SERVICES CORP.,406 W Votaw St,Portland,IN,47371-1344,765-288-1928
Winton Woods City School District,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",200 W Wilson St,Orleans,IN,47452-1007,812-865-2688
Deaconess Health Check at Western Hills,"Family Health Services of Darke County, Inc.",315 S Main St,New Madison,OH,45346-9797,937-996-1511
Carroll Floyd Dr,LIFESPRING INC,260 S Maple St,Orleans,IN,47452-1724,812-865-3350
Carroll County Upstairs Primary,"Family Health Services of Darke County, Inc.",101 ANDERSON ST,NEW MADISON,OH,45346-9715,937-996-0023
Carroll Pharmacy,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",1201 N Jim Day Rd,Salem,IN,47167-7219,812-653-6374
Carroll County Behavioral Health,LIFESPRING INC,1101 N Shelby St,Salem,IN,47167-1678,812-280-2080
Aiken High School,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,3260 Oxford Millville Road  STE B,Oxford,OH,45056,513-454-1111
Middletown Community Health Center,CHRISTIAN COMMUNITY HEALTH SERVICES,10450 New Haven Road,Harrison,OH,45030,513-367-5888
Middletown Community Health Center - 9th Avenue,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,5200 Hamilton Richmond Rd,Oxford,OH,45056-9433,513-454-1111
VERSAILLES MEDICAL CENTER SITE,LIFESPRING INC,1321 S Jackson St,Salem,IN,47167-9730,812-280-2080
Roll Hill Academy,"SOUTHERN ILLINOIS HEALTHCARE FOUNDATION, INC.",202 E Fairchild St,Danville,IL,61832-3114,217-920-0168
TRIAD HEALTH SYSTEMS CHC,AUNT MARTHA'S HEALTH & WELLNESS INC,614 N. GILBERT ST.,DANVILLE,IL,61832-3940,877-692-8686
Charlestown Community Medical Services,PURDUE UNIVERSITY,128 W Market St,Wolcott,IN,47995-8130,219-474-2067
Ethel M. Taylor Academy,"Family Health Services of Darke County, Inc.",5735 Meeker Rd,Greenville,OH,45331-1180,937-548-9680
Gallatin Co Middle School,"Family Health Services of Darke County, Inc.",4932 Children&#39;s Home-Bradford Road,Greenville,OH,45331,937-548-3806
Gallatin County Lower Elemetary,MERIDIAN HEALTH SERVICES CORP.,1026 S Main St  STE 1,Bluffton,IN,46714-3614,765-288-1928
Gallatin County High School,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",420 W Longest St,Paoli,IN,47454-8821,812-723-3944
Gallatin County Upper Elementary,MERIDIAN HEALTH SERVICES CORP.,303 S Main St Ste 300,Bluffton,IN,46714-2503,765-288-1928
CARACOLE CLINIC,MERIDIAN HEALTH SERVICES CORP.,303 S. Main Street  STE #500,Bluffton,IN,46714-2503,765-288-1928
Northside Health Center,MERIDIAN HEALTH SERVICES CORP.,125 E Cherry St,Bluffton,IN,46714-2002,765-288-1928
Millvale at Hopple Street Health Center,PURDUE UNIVERSITY,692 E Broadway St,Monon,IN,47959-8191,877-727-7640
Roberts Paideia,MERIDIAN HEALTH SERVICES CORP.,201 E South St,Markle,IN,46770-9068,765-288-1928
"WINTON HILLS MEDICAL AND HEALTH CENTER, INC.","Bowen Health, INC.",2860 Northpark Ave,Huntington,IN,46750-9700,888-470-0082
North Knox Intermediate,GOOD SAMARITAN FAMILY HEALTH CENTER INC,200 S John F Kennedy Ave,Loogootee,IN,47553-1624,812-494-7900
WINTON HILLS ACADEMY ELEMENTARY,GOOD SAMARITAN FAMILY HEALTH CENTER INC,201 Brooks Ave  FL 1,Loogootee,IN,47553-1412,812-295-3254
Price Hill Health Center,"Family Health Services of Darke County, Inc.",702 N MAIN ST,ARCANUM,OH,45304-1425,937-692-6601
Oyler Community Learning Center,"Family Health Services of Darke County, Inc.",600 E Canal St,Ansonia,OH,45303-5120,937-337-4000
Lindeman Elementary School,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",8163 W State Road 56 Ste A,West Baden Springs,IN,47469-7706,812-723-7125
Viking School Based Health Center,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,903 NW Washington Blvd STE A,Hamilton,OH,45013-6367,513-737-6900
Centerpoint Health Middletown,WELL CARE COMMUNITY HEALTH INC,314 S Ferguson St,Henryville,IN,47126-9734,812-794-8100
Ludlow High School,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,"1010 Cereal Ave, Ste 103",Hamilton,OH,45013-2776,513-454-1111
Middletown School-Based Health Center,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,"Administrative Offices210 S. Second St,2nd Floor",Hamilton,OH,45011,513-454-1460
Lloyd High School,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,210 S    2nd St,Hamilton,OH,45011-2812,513-892-1888 x6010
Tichenor Middle School,GOOD SAMARITAN FAMILY HEALTH CENTER INC,10890 N State Road 159  RM E20,Bicknell,IN,47512-8184,812-735-2990
ELMWOOD PLACE ELEMENTARY SBHC,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,250 N Fair Ave,Hamilton,OH,45011-4222,513-454-1111
Miles Elementary School,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,3045 Busenbark Rd Ste B,Trenton,OH,45067-7611,513-454-1111
HealthPoint Florence,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,211 Donald Dr,Fairfield,OH,45014-3006,513-454-1111
ST. BERNARD ELMWOOD PLACE HS SBH,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,"3145 Hamilton Mason Rd, Ste 202",Fairfield Township,OH,45011-8556,513-454-1111
ST. BERNARD- ELMWOOD PLACE ELEMENTARY SBHC,TRIAD HEALTH SYSYEMS INC,408 5th St,Carrollton,KY,41008-1202,859-567-1720
Lincoln Heights Health Center,TRIAD HEALTH SYSYEMS INC,1708 Highland Ave,Carrollton,KY,41008-8775,859-567-1720
WinMed City West,TRIAD HEALTH SYSYEMS INC,1706 Highland Ave,Carrollton,KY,41008-8775,859-567-1720
Lockland School District,TRIAD HEALTH SYSYEMS INC,619 9th St,Carrollton,KY,41008-1417,859-567-1720
Transformational Learning Center (TLC),GOOD SAMARITAN FAMILY HEALTH CENTER INC,215 E 4th St  FL 1,Bicknell,IN,47512-1803,812-735-2547
Dorothy Howell Elementary School,TRIAD HEALTH SYSYEMS INC,907 Hawkins St,Carrollton,KY,41008-1442,859-567-1720
Taft High School,TRIAD HEALTH SYSYEMS INC,519 Park Ave,Carrollton,KY,41008-8301,859-567-1720
Bobbie Sterne Health Center (formerly Elm Street),MERIDIAN HEALTH SERVICES CORP.,105 Hillcrest Dr,Ossian,IN,46777-9053,765-288-1928
CINCINNATI MOBILE HEALTH CARE,CITY OF CINCINNATI,5730 Colerain,Cincinnati,OH,45239-6714,513-363-3765
"Cincinnati Health Network, Inc.",HEALTHCARE CONNECTION INC,8101 Hamilton Ave Rm 112,Mount Healthy,OH,45231-2323,513-729-0130
Cincinnati Mobile Dental Care,CHRISTIAN COMMUNITY HEALTH SERVICES,2170 Anderson Ferry Rd,Cincinnati,OH,45238-3328,513-922-4271
CENTER FOR RESPITE CARE,GOOD SAMARITAN FAMILY HEALTH CENTER INC,2007 South State Street,Washington,IN,47501-8505,812-494-7500
SHELTERHOUSE-Barron Center for Men,HEALTHCARE CONNECTION INC,924 WAYCROSS RD,CINCINNATI,OH,45240-3022,513-589-3014
Ambrose H. Clement,HEALTHCARE CONNECTION INC,1411 Compton Rd,Mount Healthy,OH,45231-3559,513-588-3623
Crest Smile Shoppe,GOOD SAMARITAN FAMILY HEALTH CENTER INC,210 NE 6th St  FL 1,Washington,IN,47501-2808,812-254-2682
Crossroad Health Center,GOOD SAMARITAN FAMILY HEALTH CENTER INC,608 E Walnut St  FL 1,Washington,IN,47501-2812,812-254-3860
Enabling Servies Program- Freestore Foodbank,HEALTHCARE CONNECTION INC,147 Farragut Rd,Cincinnati,OH,45218-1422,513-554-4100
Rothenberg Preparatory Academy School-Based Health Center,CITY OF CINCINNATI,2146 Ferguson Rd,Cincinnati,OH,45238-3720,513-363-8770
Bond Hill Academy Elementary,TRIAD HEALTH SYSYEMS INC,329 Floyd Dr Ste A,Carrollton,KY,41008-8261,859-567-1591
Woodward Career Technical High School,TRIAD HEALTH SYSYEMS INC,329 Floyd Dr STE D,Carrollton,KY,41008-8261,502-732-1082
Ambrose H. Clement Health Center (Avondale),TRIAD HEALTH SYSYEMS INC,329 Floyd Dr  STE F,Carrollton,KY,41008,859-567-1720
SHELTERHOUSE-Hatton Center for Women,TRIAD HEALTH SYSYEMS INC,329 Floyd Dr Ste E,Carrollton,KY,41008-8261,859-567-1720
Crossroad Health Center - Taft,CITY OF CINCINNATI,5641 BELMONT AVE,CINCINNATI,OH,45224-3101,513-363-6758
WinMed-Cincinnati-Hamilton County Community Action Agency,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,1036 S Verity Pkwy,Middletown,OH,45044-5513,513-425-8330
Bethany House,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,930 9th Ave,Middletown,OH,45044-5530,513-454-1111
Community Health Centers of Greater Dayton at MVCDC - MET,"Family Health Services of Darke County, Inc.",10484 Kley Rd,Versailles,OH,45380-9561,937-526-3016
Equitas Health Cincinnati,CITY OF CINCINNATI,2411 Baltimore Ave.,Cincinnati,OH,45225-1001,513-363-4018
HealthPoint - First Step Home,TRIAD HEALTH SYSYEMS INC,441 US Highway 42 W,Warsaw,KY,41095-7513,859-567-1271
JOHN G. CARLISLE ELEMENTARY SBHC,LIFESPRING INC,890 Main St,Charlestown,IN,47111-1220,812-280-2080
Greater Cincinnati Behavioral Health Services,CITY OF CINCINNATI,1930 Fricke Rd,Cincinnati,OH,45225-1200,513-363-3645
Centerpoint Norwood SBHC,TRIAD HEALTH SYSYEMS INC,88 Pawprint Path,Warsaw,KY,41095-9376,859-567-5860
James E. Biggs ECE Center,TRIAD HEALTH SYSYEMS INC,25 Boaz Dr,Warsaw,KY,41095-9510,859-567-1720
HealthPoint Covington Center,TRIAD HEALTH SYSYEMS INC,70 Wildcat Cir,Warsaw,KY,41095-9378,859-567-1720
Glenn O. Swing Elementary,TRIAD HEALTH SYSYEMS INC,50 Pawprint Path,Warsaw,KY,41095-9376,859-567-1720
Academy of World Languages,"THE CINCINNATI HEALTH NETWORK, INC.",4138 Hamilton Ave,Cincinnati,OH,45223-2293,513-386-7899
Community Health Centers of Greater Dayton - Mobile Health Unit,CITY OF CINCINNATI,3917 Spring Grove Ave,Cincinnati,OH,45223-3302,513-357-7600
6th District Elementary School,CITY OF CINCINNATI,2750 Beekman St,Cincinnati,OH,45225-2049,513-352-3192
HealthPoint Newport,CITY OF CINCINNATI,1702 Grand Ave,Cincinnati,OH,45214-1502,513-363-4627
Withrow Community Learning Center,WINTON HILLS MED & HEALTH CENTER,5275 Winneste Ave,Cincinnati,OH,45232-1130,513-242-1033
Holmes Middle School,GOOD SAMARITAN FAMILY HEALTH CENTER INC,7820 N Camp Arthur Rd  FL 1,Bruceville,IN,47516-6225,812-324-2291
9th District Elementary,WINTON HILLS MED & HEALTH CENTER,5300 Winneste Ave,Cincinnati,OH,45232-1133,513-242-1033
Centerpoint Health Dental Franklin,CITY OF CINCINNATI,2136 W    8th St,Cincinnati,OH,45204-2052,513-357-2700
Centerpoint Health Medical Franklin,CITY OF CINCINNATI,2121 Hatmaker,Cincinnati,OH,45204,513-363-4182
Community Health Centers of Greater Dayton at MVCDC - Kings Highway,"HEALTH POINT FAMILY CARE, INC.",558 Erlanger Rd,Erlanger,KY,41018-1305,859-655-6100
Latonia Elementary,HEALTHCARE CONNECTION INC,100 Viking Way Rm 1520,Cincinnati,OH,45246-1139,513-864-1545
Five Rivers Family Health Center,TALBERT HOUSE HEALTH CENTER D/B/A CENTERPOINT HEALTH,231 N Breiel Blvd,Middletown,OH,45042-3807,513-318-1188
Community Health Centers of Greater Dayton - Alex Central Health Center,"HEALTH POINT FAMILY CARE, INC.",515 Elm St,Ludlow,KY,41016-1304,859-655-6100
Transitions,BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM,601 N Breiel Blvd Ste B,Middletown,OH,45042-3801,513-454-1111
The Children's Home of Cincinnati,"HEALTH POINT FAMILY CARE, INC.",450 Bartlett Ave Bldg,Erlanger,KY,41018-1686,859-727-1555
Riverview East,"HEALTH POINT FAMILY CARE, INC.",305 Bartlett Ave,Erlanger,KY,41018-1678,859-727-2255
Five Rivers Health Centers Roosevelt Health Center,WINTON HILLS MED & HEALTH CENTER,400 MAPLE AVENUE,ELMWOOD PLACE,OH,45216-2128,513-242-1033
John P. Parker,"HEALTH POINT FAMILY CARE, INC.",208 Sunset Ave,Erlanger,KY,41018-1526,859-655-6100
Family Health Centers of Southern Indiana Clarksville,"HEALTH POINT FAMILY CARE, INC.",7607 Dixie Hightway,Florence,KY,41042-824,859-655-6100
Bowen Center Whitley,WINTON HILLS MED & HEALTH CENTER,4615 Tower Ave,Cincinnati,OH,45217-1724,513-242-1033
Braxton F. Cann Memorial Medical Center,WINTON HILLS MED & HEALTH CENTER,4515 Tower Ave,Cincinnati,OH,45217-1723,513-242-1033
Community Health Centers of Greater Dayton - Charles Drew Health Center,HEALTHCARE CONNECTION INC,1401 Steffen Ave,Cincinnati,OH,45215-2338,513-588-3263
Alliance Health Centers- The Bridge of Grace,WINTON HILLS MED & HEALTH CENTER,1019 LINN ST,CINCINNATI,OH,45203-1314,513-233-7100
Five Rivers Health Centers Edgemont Campus,HEALTHCARE CONNECTION INC,210 N Cooper Ave,Lockland,OH,45215-3011,513-563-5000
Five Rivers Health Centers Edgemont Campus - Mobile Unit,"HEALTH POINT FAMILY CARE, INC.",200 Home Road,Covington,KY,41014,859-655-6157
Cassano Community Health Center,"HEALTH POINT FAMILY CARE, INC.",459 Buckner St,Elsmere,KY,41018-2303,859-655-6100
Bowen Center- Fort Wayne,CITY OF CINCINNATI,420 Ezzard Charles Dr,Cincinnati,OH,45214-2806,513-363-8257
Bowen Health Clinic,CITY OF CINCINNATI,1525 Elm Street,Cincinnati,OH,45202-6957,513-352-3092
Neighborhood Health - Southeast Clinic,"THE CINCINNATI HEALTH NETWORK, INC.",1525 Elm St,Cincinnati,OH,45202-6957,513-386-7899
Neighborhood Health Oxford,"THE CINCINNATI HEALTH NETWORK, INC.",40 E MCMICKEN AVE,CINCINNATI,OH,45202-6549,513-386-7899
Alliance Health Centers- Brave Alliance Health Center,"THE CINCINNATI HEALTH NETWORK, INC.",40 E MCMICKEN AVE,CINCINNATI,OH,45202-6549,513-961-0600
Tecumseh Harrison Elementary,"THE CINCINNATI HEALTH NETWORK, INC.",1615 Republic St,Cincinnati,OH,45202-6464,513-621-1868
Washington Learning Academy,"THE CINCINNATI HEALTH NETWORK, INC.",411 Gest St,Cincinnati,OH,45203-1730,513-386-7899
Northridge School-Based Health Center,CITY OF CINCINNATI,3101 Burnet Ave,Cincinnati,OH,45229-3014,513-357-7300
Five Rivers Samaritan Homeless Clinic,CITY OF CINCINNATI,612 Rockdale,Cincinnati,OH,45229-2919,513-352-4072
Alliance Health Center,CHRISTIAN COMMUNITY HEALTH SERVICES,5 E Liberty St,Cincinnati,OH,45202-8202,513-381-2247
Alliance Health Centers- Pediatrics,"THE CINCINNATI HEALTH NETWORK, INC.",112 E LIBERTY ST,CINCINNATI,OH,45202-6510,513-357-4817
Equitas Health Dayton,CHRISTIAN COMMUNITY HEALTH SERVICES,241 E CLIFTON AVE,CINCINNATI,OH,45202-8905,513-381-2247
Equitas Health Dayton #3,WINTON HILLS MED & HEALTH CENTER,1510 California Ave,Cincinnati,OH,45237-5621,513-363-7900
Equitas Health Dayton #2,WINTON HILLS MED & HEALTH CENTER,7005 Reading Road,Cincinnati,OH,45237,513-363-9300
Equitas Health Pharmacy Dayton,CITY OF CINCINNATI,3559 Reading Rd Ste 101,Cincinnati,OH,45229-2666,513-357-7300
Five Rivers Health Centers at St. Vincent de Paul,"THE CINCINNATI HEALTH NETWORK, INC.",2499 Reading Rd,Cincinnati,OH,45202-1464,513-386-7899
LifeSpring Comunity Medical Services,CHRISTIAN COMMUNITY HEALTH SERVICES,270 Southern Ave,Cincinnati,OH,45219-3023,513-381-2247
Neighborhood Health - Calhoun Site,WINTON HILLS MED & HEALTH CENTER,1740 Langdon Farm Road,Cincinnati,OH,45237,513-631-7100
Family Health Center,"THE CINCINNATI HEALTH NETWORK, INC.",4769 Reading Rd,Cincinnati,OH,45237-6107,513-961-0600
Neighborhood Health Family Medicine Center,COMMUNITY HEALTH CENTERS OF GREATER DAYTON,2900 Shiloh Springs Rd.  STE Studio A,Trotwood,OH,45426-2139,937-226-5664
Green Door Center,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",307 S. Indiana Ave.,English,IN,47118,812-338-2924
Alliance Health Centers- Washington Blvd,EQUITAS HEALTH INC,2805 Gilbert Ave,Cincinnati,OH,45206-1210,513-815-4475
HealthSource Mt. Washington,"HEALTH POINT FAMILY CARE, INC.",2203 Fulton Ave,Cincinnati,OH,45206-2504,513-961-4663
Community Health Centers of Greater Dayton - Corwin Nixon Health Center,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",5604 E White Oak Ln,Marengo,IN,47140-8413,812-365-3221
LifeSpring Forensic Services,"HEALTH POINT FAMILY CARE, INC.",910 Holman Ave,Covington,KY,41011-3013,859-655-6139
Community Health Centers of Greater Dayton - East Dayton Health Center,HEALTHCARE CONNECTION INC,1501 Madison Rd,Cincinnati,OH,45206-1706,513-354-5200
Bowen Center- Goshen Road,TALBERT HOUSE HEALTH CENTER D/B/A CENTERPOINT HEALTH,2020 Sherman Ave Ste 202,Cincinnati,OH,45212-2616,513-318-1188
Alliance Health Centers- Turnstone,LIFESPRING INC,6575 Old Vincennes Rd RM E108,Floyds Knobs,IN,47119,812-981-7452
HealthSource Anderson Ob/Gyn,"HEALTH POINT FAMILY CARE, INC.",1124 Scott St,Covington,KY,41011-3168,859-655-6100
HealthSource Lebanon,"HEALTH POINT FAMILY CARE, INC.",1401 Madison Ave,Covington,KY,41011-3313,859-655-6100
Knox Winamac Community Health Centers Mobile Medical Unit,"HEALTH POINT FAMILY CARE, INC.",501 W 19th St,Covington,KY,41014-1141,859-655-6100
Knox/Winamac Community Health Centers,CITY OF CINCINNATI,2030 Fairfax Ave,Cincinnati,OH,45207-1943,513-363-7821
HealthLinc Knox,"HEALTH POINT FAMILY CARE, INC.",701 5TH AVE,DAYTON,KY,41074-1301,859-655-6100
Community Health Centers of Greater Dayton - Chambersburg Health Center,COMMUNITY HEALTH CENTERS OF GREATER DAYTON,4290 N James H Mcgee Blvd,Dayton,OH,45417-9536,937-586-9733
HealthSource Eastgate Pediatrics,"HEALTH POINT FAMILY CARE, INC.",1901 Maryland Ave,Covington,KY,41014-1442,859-655-6100
120 Progress Way,"HEALTH POINT FAMILY CARE, INC.",215 E 11th St,Newport,KY,41071-2203,859-655-6100
Henry County Community Health Center,CITY OF CINCINNATI,2520 Madison Rd,Cincinnati,OH,45208-1257,513-363-9023
Women's Care of the Bluegrass-Owenton,"HEALTH POINT FAMILY CARE, INC.",2500 Madison Ave.,Covington,KY,41014-1658,859-655-6100
SIHF Healthcare – Charleston,"HEALTH POINT FAMILY CARE, INC.",2800 Indiana Ave,Covington,KY,41015-1029,859-655-6100
